10000, 0.01225, 0.005
20000, 0.00621, 0.02
30000, 0.00448, 0.02
40000, 0.00392, 0.02
50000, 0.00362, 0.02
60000, 0.00333, 0.02
70000, 0.00308, 0.02
80000, 0.00291, 0.02
90000, 0.00273, 0.02
100000, 0.00262, 0.02
110000, 0.00255, 0.02
120000, 0.00245, 0.02
130000, 0.00238, 0.02
140000, 0.00233, 0.02
150000, 0.00226, 0.02
160000, 0.00223, 0.02
170000, 0.00217, 0.02
180000, 0.00215, 0.02
190000, 0.00209, 0.02
200000, 0.00208, 0.02
210000, 0.00204, 0.02
220000, 0.00202, 0.02
230000, 0.00198, 0.02
240000, 0.00196, 0.02
250000, 0.00194, 0.02
260000, 0.00192, 0.02
270000, 0.00190, 0.02
280000, 0.00189, 0.02
290000, 0.00187, 0.02
300000, 0.00184, 0.02
310000, 0.00183, 0.02
320000, 0.00182, 0.02
330000, 0.00179, 0.02
340000, 0.00178, 0.02
350000, 0.00178, 0.02
360000, 0.00177, 0.02
370000, 0.00176, 0.02
380000, 0.00173, 0.02
390000, 0.00174, 0.02
400000, 0.00172, 0.02
410000, 0.00171, 0.02
420000, 0.00169, 0.02
430000, 0.00170, 0.02
440000, 0.00152, 0.002
450000, 0.00150, 0.002
460000, 0.00150, 0.002
470000, 0.00149, 0.002
480000, 0.00149, 0.002
490000, 0.00148, 0.002
500000, 0.00148, 0.002
510000, 0.00147, 0.002
520000, 0.00147, 0.002
530000, 0.00147, 0.002
540000, 0.00147, 0.002
550000, 0.00145, 0.002
560000, 0.00145, 0.002
570000, 0.00146, 0.002
580000, 0.00145, 0.002
590000, 0.00146, 0.002
600000, 0.00145, 0.002
610000, 0.00145, 0.002
